"RelativePath","Extension","Length","LastWriteTime"
".gitignore",".gitignore","46","05/06/2026 13:29:09"
".gitkeep",".gitkeep","0","04/06/2026 17:36:28"
"CNAME","","23","04/06/2026 17:36:28"
"favicon.ico",".ico","0","04/06/2026 17:36:28"
"index.html",".html","5894","05/06/2026 18:14:07"
"README.html",".html","5691","04/06/2026 17:36:28"
"README.md",".md","395","04/06/2026 17:36:28"
"README_POLISH_PASS.md",".md","264","04/06/2026 17:36:28"
"assets\css\style.css",".css","3353","05/06/2026 13:50:33"
"assets\js\main.js",".js","1376","05/06/2026 13:50:33"
"css\.gitkeep",".gitkeep","0","04/06/2026 17:36:28"
"css\components.css",".css","33","04/06/2026 17:36:28"
"css\layout.css",".css","29","04/06/2026 17:36:28"
"css\styles.css",".css","7695","05/06/2026 18:14:07"
"data\.gitkeep",".gitkeep","0","04/06/2026 17:36:28"
"data\content.json",".json","266","04/06/2026 17:36:28"
"docs\.gitkeep",".gitkeep","0","04/06/2026 17:36:28"
"images\.gitkeep",".gitkeep","0","04/06/2026 17:36:28"
"images\backgrounds\.gitkeep",".gitkeep","0","04/06/2026 17:36:28"
"images\divisions\symcore_energy_banner.png",".png","2754852","04/06/2026 17:36:28"
"images\divisions\symcraft_nano_banner.png",".png","2760375","04/06/2026 17:36:28"
"images\divisions\symcura_health_banner.png",".png","2424063","04/06/2026 17:36:28"
"images\divisions\symlogic_compute_banner.png",".png","2713123","04/06/2026 17:36:28"
"images\divisions\symspace_dynamics_banner.png",".png","2505236","04/06/2026 17:36:28"
"images\heroes\founding_fellows_hero.png",".png","2577899","04/06/2026 17:36:29"
"images\heroes\nsrp_hero.png",".png","2596372","04/06/2026 17:36:29"
"images\heroes\symmetria_hero.png",".png","2618432","04/06/2026 17:36:29"
"images\heroes\symtech_hero.png",".png","3518683","04/06/2026 15:56:10"
"images\icons\.gitkeep",".gitkeep","0","04/06/2026 17:36:28"
"images\icons\contact.png",".png","1597773","04/06/2026 17:36:28"
"images\icons\founding_fellows.png",".png","1727239","05/06/2026 12:42:11"
"images\icons\symcore_energy.png",".png","1533773","05/06/2026 12:42:11"
"images\icons\symcraft_nano.png",".png","1087760","05/06/2026 12:53:42"
"images\icons\symcura_health.png",".png","1497912","05/06/2026 12:42:11"
"images\icons\symlogic_compute.png",".png","970693","05/06/2026 12:53:42"
"images\icons\symspace_dynamics.png",".png","1449600","05/06/2026 12:42:11"
"images\logos\.gitkeep",".gitkeep","0","04/06/2026 17:36:28"
"images\logos\nsrp.png",".png","1596987","05/06/2026 13:08:21"
"images\logos\symmetria.png",".png","2322568","05/06/2026 13:08:21"
"images\logos\symtech.png",".png","1660953","05/06/2026 13:08:49"
"js\.gitkeep",".gitkeep","0","04/06/2026 17:36:29"
"js\animations.js",".js","33","04/06/2026 17:36:29"
"js\main.js",".js","5908","05/06/2026 18:14:07"
"js\navigation.js",".js","33","04/06/2026 17:36:29"
"pages\.gitkeep",".gitkeep","0","04/06/2026 17:36:29"
"pages\contact.html",".html","2231","05/06/2026 18:14:07"
"pages\divisions.html",".html","2793","05/06/2026 18:14:07"
"pages\founding-fellows.html",".html","3288","05/06/2026 18:14:07"
"pages\nsrp.html",".html","4421","05/06/2026 18:14:07"
"pages\symcore.html",".html","2551","05/06/2026 18:14:07"
"pages\symcraft.html",".html","2494","05/06/2026 18:14:07"
"pages\symcura.html",".html","2519","05/06/2026 18:14:07"
"pages\symlogic.html",".html","2530","05/06/2026 18:14:07"
"pages\symmetria.html",".html","2958","05/06/2026 18:14:07"
"pages\symspace.html",".html","2503","05/06/2026 18:14:07"
"_aetheros_logs\AetherOS_Starfield_PASS8_InspectedStructure_2026-06-05_18-14-07.txt",".txt","3027","05/06/2026 18:14:07"
"_aetheros_logs\repo_update_2026-06-05_13-27-25.txt",".txt","1673","05/06/2026 13:27:26"
"_backups\contact_backup_clean_starfield_v6_2026-06-05_17-27-45.html",".html","2017","04/06/2026 17:36:29"
"_backups\contact_backup_visible_canvas_starfield_v7_2026-06-05_17-32-38.html",".html","2068","05/06/2026 17:27:45"
"_backups\divisions_backup_clean_starfield_v6_2026-06-05_17-27-45.html",".html","2579","04/06/2026 17:36:29"
"_backups\divisions_backup_visible_canvas_starfield_v7_2026-06-05_17-32-38.html",".html","2630","05/06/2026 17:27:45"
"_backups\founding-fellows_backup_clean_starfield_v6_2026-06-05_17-27-45.html",".html","3074","04/06/2026 17:36:29"
"_backups\founding-fellows_backup_visible_canvas_starfield_v7_2026-06-05_17-32-38.html",".html","3125","05/06/2026 17:27:45"
"_backups\index_backup_2026-06-05_13-44-57.html",".html","5675","04/06/2026 18:48:16"
"_backups\index_backup_2026-06-05_13-47-06.html",".html","5675","04/06/2026 18:48:16"
